",appid,english,required_age,achievements,positive_ratings,negative_ratings,average_playtime,median_playtime,price"
"114,3830,1,0,37,8204.0,456,491,232,6.99"
"115,3900,1,0,0,1394.0,129,49,64,9.99"
"116,3910,1,0,0,2578.0,405,1166,13,2.99"
"117,3920,1,0,0,2641.0,193,296,436,5.99"
"118,3960,1,0,0,39.0,49,0,0,2.99"
"119,3980,1,0,0,184.0,65,0,0,5.99"
"120,3990,1,0,0,121.0,20,0,0,2.99"
"121,4000,1,0,29,363721.0,16433,12422,1875,6.99"
"122,4100,1,0,0,4.0,5,0,0,5.99"
"123,4230,1,0,0,119.0,43,0,0,25.99"
"124,4290,1,0,0,4.0,2,0,0,3.99"
"125,4300,1,0,0,43.0,14,78,78,5.99"
"126,4420,1,0,0,57.0,36,0,0,7.99"
"127,4460,1,0,0,77.0,41,0,0,6.99"
"128,4470,1,0,0,31.0,17,0,0,7.99"
"129,4500,1,0,0,11039.0,570,493,360,9.99"
"130,4520,1,0,0,106.0,60,124,244,7.99"
"131,4530,1,0,0,76.0,38,1,1,4.99"
"132,4560,1,18,0,4772.0,320,175,186,0.0"
"133,4570,1,16,0,3485.0,206,309,340,9.99"
"134,4580,1,16,0,2849.0,133,543,620,9.99"
"135,4700,1,0,0,10270.0,605,469,361,0.0"
"136,4720,1,18,0,1243.0,221,312,312,9.99"
"137,4760,1,0,0,7806.0,562,897,1192,8.99"
"138,4770,1,0,0,331.0,131,33,33,8.99"
"139,4780,1,0,0,585.0,30,0,0,0.0"
"140,4800,1,0,0,259.0,46,0,0,9.99"
"141,4850,1,0,0,1081.0,143,1134,1208,3.99"
"142,4870,1,0,0,102.0,22,0,0,3.99"
"143,4880,1,0,0,170.0,66,1,1,3.99"
"144,4890,1,0,0,246.0,138,71,71,3.99"
"145,4900,1,0,0,122.0,17,0,0,0.0"
"146,4920,1,0,67,8372.0,1498,627,253,6.99"
"147,6000,1,0,0,6392.0,379,369,265,7.19"
"148,6010,1,0,0,597.0,31,419,804,4.79"
"149,6020,1,0,0,5684.0,330,1254,174,7.19"
"150,6030,1,0,0,2020.0,219,127,180,7.19"
"151,6040,1,0,0,575.0,55,801,801,4.79"
"152,6060,1,0,0,29149.0,2425,618,320,7.19"
"153,6080,1,0,0,272.0,38,17,17,7.19"
"154,6090,1,0,0,115.0,18,100,100,4.79"
"155,6120,1,0,12,1749.0,227,255,363,7.19"
"156,6200,1,0,0,1025.0,164,21,21,3.99"
"157,6210,1,0,0,91.0,33,0,0,3.99"
"158,6220,1,0,0,1977.0,186,78,96,4.99"
"159,6250,1,0,0,460.0,107,0,0,3.99"
"160,6270,1,0,0,77.0,100,0,0,3.99"
"161,6300,1,0,0,588.0,89,20,20,13.99"
"162,6310,1,0,0,1152.0,102,14,19,5.99"
"163,6370,1,0,0,1365.0,226,70,102,0.0"
"164,6400,1,0,0,100.0,15,0,0,5.79"
